,CNY,JPY,INR,EUR,GBP,time,USD
0,1101.5409239723538,1099.9878517195177,1082.196887333383,1071.849837359356,1072.6045377836115,1486615500,1071.78
1,1100.755183703165,1100.1163019205003,1077.8413880408073,1071.924492081267,1072.6045377836115,1486615560,1071.54
2,1098.9770825754822,1099.4786065207682,1077.8209844366668,1071.8178424785367,1072.6045377836115,1486615620,1071.43
3,1100.4845398326665,1099.5914247431888,1077.820686573833,1068.7783288007251,1072.6045377836115,1486615680,1070.93
4,1100.651873408512,1099.4974542206342,1077.820686573833,1068.72500399936,1074.5296581036314,1486615740,1070.63
5,1100.6329574390688,1099.2810183117463,1077.4048700573387,1071.1566149416094,1074.5296581036314,1486615800,1070.61
6,1100.4379774463441,1099.38195623046,1082.9848834611662,1070.953980696422,1074.5296581036314,1486615860,1070.57
7,1098.9174245180066,1099.6710138454666,1088.8027403380745,1070.570042126593,1074.5296581036314,1486615920,1069.46
8,1100.7086213168425,1099.125502456454,1077.175813537866,1067.1039300378607,1074.9421838864928,1486615980,1070.36
9,1099.9141506002184,1099.405359535507,1077.1753667436146,1069.8128299472085,1074.9421838864928,1486616040,1070.57
10,1100.0887595489269,1099.642965609647,1077.1753667436146,1069.8128299472085,1074.9421838864928,1486616100,1070.61
11,1100.20371044016,1099.7467619472977,1077.1753667436146,1069.556870900656,1074.9421838864928,1486616160,1070.58
12,1100.9443433975991,1099.9096918267082,1075.989425869387,1069.567535860929,1074.5796612288268,1486616220,1070.53
13,1101.2790105492907,1099.935238945958,1075.989425869387,1069.567535860929,1074.5796612288268,1486616280,1069.94
14,1101.1786104037833,1099.9501563197855,1075.989425869387,1066.8586359515812,1074.5796612288268,1486616340,1069.86
15,1099.9301564205166,1099.740151853506,1075.989425869387,1069.3968964965607,1074.5796612288268,1486616400,1070.02
16,1100.7871953437614,1099.7985707905314,1075.989425869387,1069.3542366554684,1074.5796612288268,1486616460,1069.18
17,1101.175700254638,1100.2449307726663,1075.989425869387,1066.794646189943,1074.5796612288268,1486616520,1069.07
18,1101.36922517279,1100.023671281822,1075.989425869387,1066.6666666666667,1074.5796612288268,1486616580,1069.12
19,1100.992360858494,1099.6215274676194,1090.4953458932162,1065.1095824668055,1074.5796612288268,1486616640,1069.03
20,1101.5001818843216,1099.38195623046,1090.4953458932162,1068.0637764624328,1074.1421338833677,1486616700,1069.06
21,1100.744998181157,1099.2037516748549,1090.4953458932162,1067.733162693969,1074.9921870116882,1486616760,1068.91
22,1100.8308475809386,1099.6403751674854,1083.0271799836175,1067.6051831706927,1073.9546221638852,1486616820,1069.13
23,1101.2993815933069,1099.721661456007,1094.1118474942289,1067.5838532501466,1074.0046252890804,1486616880,1069.9
24,1101.4259730811204,1100.183921393479,1094.120783379254,1066.6133418653017,1073.7046065379086,1486616940,1070.02
25,1102.093852309931,1099.8693166592227,1101.6212674063595,1066.6560017063937,1073.7046065379086,1486617000,1070.45
26,1101.31829756275,1099.8251004912906,1085.0054359967237,1066.6560017063937,1073.7046065379086,1486617060,1070.18
27,1102.2233539468898,1099.6603841000447,1083.9268746742127,1066.6453367461206,1073.7046065379086,1486617120,1070.14
28,1102.2204437977448,1099.6607414024118,1099.318489835431,1066.6453367461206,1073.7046065379086,1486617180,1070.18
29,1102.5114587122591,1099.7983028137562,1070.386774890163,1066.5813469844825,1073.7046065379086,1486617240,1070.64
30,1102.4008730447435,1099.677445288075,1070.386774890163,1066.5813469844825,1073.7046065379086,1486617300,1069.83
31,1102.4939978173882,1100.1948191156766,1070.386774890163,1066.7306564283049,1073.7046065379086,1486617360,1070.07
32,1102.4998181156786,1100.4025011165697,1070.386774890163,1066.6986615474857,1075.0296893555847,1486617420,1070.35
33,1103.2055292833759,1100.6006252791426,1085.5803112666617,1068.0531115021597,1075.0296893555847,1486617480,1070.24
34,1102.9668970534742,1100.646002679768,1085.5803112666617,1068.0744414227058,1075.0296893555847,1486617540,1070.72
35,1103.2084394325211,1100.465564984368,1085.5803112666617,1068.0744414227058,1075.0296893555847,1486617600,1070.63
36,1103.2811931611495,1100.940509155873,1070.2505026435326,1068.1384311843437,1075.0296893555847,1486617660,1070.87
37,1103.358312113496,1101.0715497990175,1101.239556184377,1068.2557457473472,1075.0296893555847,1486617720,1070.94
38,1104.2982902873773,1101.3072800357302,1101.239556184377,1069.567535860929,1075.0296893555847,1486617780,1071.38
39,1103.8588577664607,1101.3583742742296,1101.239556184377,1069.6528555431132,1075.0296893555847,1486617840,1072.64
40,1103.5358312113497,1100.3656989727556,1101.239556184377,1069.108942569189,1075.0296893555847,1486617900,1071.91
41,1102.9654419789015,1101.049218401072,1101.239556184377,1069.108942569189,1075.004687792987,1486617960,1071.91
42,1103.8603128410332,1101.0681554265298,1101.239556184377,1069.108942569189,1075.004687792987,1486618020,1072.7
43,1103.6900691160422,1101.1170165252345,1089.0891354531238,1071.2099397429745,1075.004687792987,1486618080,1072.44
44,1103.7308112040744,1101.0115230013398,1089.0891354531238,1071.2099397429745,1075.004687792987,1486618140,1072.49
45,1102.9392506365953,1100.7631978561858,1107.1372403008415,1071.3059243854316,1075.004687792987,1486618200,1072.55
46,1103.829756275009,1100.6529700759268,1102.1158686424903,1067.8931370980642,1076.2172635789736,1486618260,1072.34
47,1103.806475081848,1100.3497990174185,1103.4619107900812,1071.2632645443396,1076.2172635789736,1486618320,1072.08
48,1103.7497271735178,1100.518445734703,1103.4619107900812,1071.0286354183331,1076.2172635789736,1486618380,1072.12
